Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio
,"<img src=""9a.JPG""><br>just ",FALSE,Thai::~~basics::vowels,1424490724292,Basic (+Audio on back),Thai::vowel,[sound:rec1424491031.mp3],,,,,,,,,,,,
,"<img src=""7a.JPG""><br>bed - wife",FALSE,Thai::~~basics::vowels,1424491042579,Basic (+Audio on back),Thai::vowel,[sound:rec1424491179.mp3],,,,,,,,,,,,
,"<img src=""10a.JPG"" /><br>subject - boat",FALSE,Thai::~~basics::vowels,1424491187423,Basic (+Audio on back),Thai::vowel,[sound:rec1424491775.mp3],,,,,,,,,,,,
◌ัว,"-ooa<div><br></div><div>[long/open]</div><div><br></div><div>ต<font color=""#ff0000"">ัว</font></div><br>(one) ",FALSE,Thai::~~basics::vowels,1424491834137,Basic (+Audio on back),leech Thai::vowel,[sound:rec1424491913.mp3],,,,,,,,,,,,
,"<img src=""16a.JPG""><br>no / wear / age ",FALSE,Thai::~~basics::vowels,1424491917002,Basic (+Audio on back),Thai::vowel,[sound:rec1424492102.mp3],,,,,,,,,,,,
-าย,"-aai<div><br></div><div>[long/open]</div><div><br></div><div>ห<font color=""#ff0000"">าย</font></div><br>disappear",FALSE,Thai::~~basics::vowels,1424492111679,Basic (+Audio on back),Thai::vowel,[sound:rec1424492187.mp3],,,,,,,,,,,,
,"<img src=""6a.JPG""><br>rapidly",FALSE,Thai::~~basics::vowels,1424492196806,Basic (+Audio on back),Thai::vowel,[sound:rec1424492315.mp3],,,,,,,,,,,,
-อย,"-aawy<div><br></div><div>[long/open]</div><div><br></div><div>ซ<font color=""#ff0000"">อย<br></font><span style=""background-color: rgb(255, 241, 215);""></span><font color=""#ff0000""></font></div><br>(alley) ",FALSE,Thai::~~basics::vowels,1424492324599,Basic (+Audio on back),Thai::vowel,[sound:rec1424492396.mp3],,,,,,,,,,,,
เ-ย,"-eeuy<div><br></div><div>[long/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ล<font color=""#ff0000"">ย</font></div><br>at all",FALSE,Thai::~~basics::vowels,1424492403731,Basic (+Audio on back),leech Thai::vowel,[sound:rec1424492567.mp3],,,,,,,,,,,,
โ-ย,"-ooy<div><br></div><div>[long/open]</div><div><br></div><div><font color=""#ff0000"">โ</font>ด<font color=""#ff0000"">ย</font></div><br>(by / by means of) ",FALSE,Thai::~~basics::vowels,1424492582233,Basic (+Audio on back),Thai::vowel,[sound:rec1424492787.mp3],,,,,,,,,,,,
,"-uii<div><br></div><div>[short/open]</div><div><br></div><div>ท<font color=""#ff0000"">ุย</font></div> ",FALSE,Thai::~~basics::vowels,1424492794284,Basic (+Audio on back),Thai::vowel,[sound:rec1424492921.mp3],,,,,,,,,,,,
,"<img src=""11a.JPG""><br>tired ",FALSE,Thai::~~basics::vowels,1424492931998,Basic (+Audio on back),Thai::vowel,[sound:rec1424493012.mp3],,,,,,,,,,,,
-วย,"-ooay<div><br></div><div>[short/open]</div><div><br></div><div>ส<font color=""#ff0000"">วย</font></div><br>beautiful",FALSE,Thai::~~basics::vowels,1424493019608,Basic (+Audio on back),Thai::vowel,[sound:rec1424493081.mp3],,,,,,,,,,,,
เ-า,"-ao<div><br></div><div>[short/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ร<font color=""#ff0000"">า</font></div><br>we",FALSE,Thai::~~basics::vowels,1424493087711,Basic (+Audio on back),Thai::vowel,[sound:rec1424493170.mp3],,,,,,,,,,,,
-าว,"-aao<div><br></div><div>[long/open]</div><div><br></div><div>ข<font color=""#ff0000"">าว</font></div><br>white",FALSE,Thai::~~basics::vowels,1424493180591,Basic (+Audio on back),Thai::vowel,[sound:rec1424493237.mp3],,,,,,,,,,,,
,"<img src=""12a.JPG"" /><br>(fast) ",FALSE,Thai::~~basics::vowels,1424493244054,Basic (+Audio on back),Thai::vowel,[sound:rec1424493345.mp3],,,,,,,,,,,,
เ-ว,"-ehhoh<div><br></div><div>[long/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ล<font color=""#ff0000"">ว</font></div><br>(bad / infamous / evil) ",FALSE,Thai::~~basics::vowels,1424493350588,Basic (+Audio on back),Thai::vowel,[sound:rec1424493451.mp3],,,,,,,,,,,,
,"<img src=""eeooA.JPG"" /><br>hungry ",FALSE,Thai::~~basics::vowels,1424493456847,Basic (+Audio on back),Thai::vowel,[sound:rec1424493526.mp3],,,,,,,,,,,,
,"<img src=""8a.JPG"" /><br>green",FALSE,Thai::~~basics::vowels,1424493536347,Basic (+Audio on back),Thai::vowel,[sound:rec1424493613.mp3],,,,,,,,,,,,
,"<img src=""1a.JPG"" /><br>do",FALSE,Thai::~~basics::vowels,1424493622892,Basic (+Audio on back),Thai::vowel,[sound:rec1424493859.mp3],,,,,,,,,,,,
ฤ- or -ฤ-,"ri- , -ri- or -reu-<div><br></div><div>[short/open or closed]</div><div><br></div><div><font color=""#ff0000"">ฤ</font>ทธ์ &nbsp;อังก<font color=""#ff0000"">ฤ</font>ษ &nbsp;พ<font color=""#ff0000"">ฤ</font>ศจิก &nbsp;<font color=""#ff0000"">ฤ</font>ดู&nbsp;</div><br>(prowess - English - November - season) ",FALSE,Thai::~~basics::vowels,1424493874874,Basic (+Audio on back),Thai::vowel,[sound:rec1424494124.mp3],,,,,,,,,,,,
-รร-,"A special way of writing: -ah-<div><br></div><div>[short/closed]</div><div><br></div><div>ธ<font color=""#ff0000"">รร</font>มดา&nbsp;</div><br>ordinary",FALSE,Thai::~~basics::vowels,1424494141789,Basic (+Audio on back),Thai::vowel,[sound:rec1424494262.mp3],,,,,,,,,,,,
"""พูดแบบไทยไทย""","""Speak like a Thai""",FALSE,Thai::~phrases,1442747087432,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_000 -Speak like a Thai-.mp3],,,,,,000,,,[sound:SLAT1_000 -พูดแบบไทยไทย-.mp3],
"""ทำอะไรอยู่""","""What are you doing?""",FALSE,Thai::~phrases,1442747087433,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_001 -What are you doing--.mp3],,,,,"Same as ""กำลังทำอะไร""",001,,,[sound:SLAT1_001 -ทำอะไรอยู่-.mp3],
"""ทำไมถึงไม่ไป""","""Why didn't you go?""",FALSE,Thai::~phrases,1442747087434,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_002 -Why didn't you go--.mp3],,,,,ถึง is added for emphasis.,002,,,[sound:SLAT1_002 -ทำไมถึงไม่ไป-.mp3],
"""เดี๋ยวก่อน""","""Hold on!""",FALSE,Thai::~phrases,1442747087435,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_003-1 -Hold on!-.mp3],,,,,,003.1,,,[sound:SLAT1_003 -เดี๋ยวก่อน-.mp3],
"""แป๊บนึง""","""Just one moment""",FALSE,Thai::~phrases,1442747087436,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_004 -Just one moment-.mp3],,,,,,004,,,[sound:SLAT1_004 -แป๊บนึง-.mp3],
"""ว่าไง""","""What do you have to say?""",FALSE,Thai::~phrases,1442747087437,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_005 -What do you have to say--.mp3],,,,,"Or you can say ""ว่ามา"" which means ""Tell me""",005,,,[sound:SLAT1_005 -ว่าไง-.mp3],
"""อะไรอย่างเงี้ยะ""","""Something like that""",FALSE,Thai::~phrases,1442747087438,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_006 -Something like that-.mp3],,,,,"Other variations: ""อะไรแบบเนี้ยะ"" or ""อะไรทำนองนี้""",006,,,[sound:SLAT1_006 -อะไรอย่างเงี้ยะ-.mp3],
"""ทำปุ๊บ เสร็จปั๊บ""","""As soon as I do it, it's done""",FALSE,Thai::~phrases,1442747087439,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,"[sound:SLAT1_007 -As soon as I do it, it's done-.mp3]",,,,,,007,,,[sound:SLAT1_007 -ทำปุ๊บ เสร็จปั๊บ-.mp3],
"""มันไม่คุ้ม""","""It's not worth it""",FALSE,Thai::~phrases,1442747087440,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_008 -It's not worth it-.mp3],,,,,,008,,,[sound:SLAT1_008 -มันไม่คุ้ม-.mp3],
"""พอได้""","""I can do it sufficiently""",FALSE,Thai::~phrases,1442747087441,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_009-1 -I can do it sufficiently-.mp3],,,,,,009.1,,,[sound:SLAT1_009 -พอได้-.mp3],
"""พอดีเจอกับเขา""","""I just happened to run into him""",FALSE,Thai::~phrases,1442747087442,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_010 -I just happened to run into him-.mp3],,,,,,010,,,[sound:SLAT1_010 -พอดีเอกับเขา-.mp3],
"""ทำไปเลย""","""Go ahead and do it""",FALSE,Thai::~phrases,1442747087443,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_011 -Go ahead and do it-.mp3],,,,,,011,,,[sound:SLAT1_011 -ทำไปเลย-.mp3],
"""สวยขึ้น""","""You look more beautiful""",FALSE,Thai::~phrases,1442747087444,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_012 -You look more beautiful-.mp3],,,,,,012,,,[sound:SLAT1_012 -สวยขึ้น-.mp3],
"""แล้วเจอกัน""","""See you later!""",FALSE,Thai::~phrases,1442747087445,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_013 -See you later!-.mp3],,,,,"Similar usage: ""เดั๋ยวเจอกัน"" - ""See you in a bit""",013,,,[sound:SLAT1_013 -แล้วเจอกัน-.mp3],
"""แค่นี้นะ""","""That's all for now""",FALSE,Thai::~phrases,1442747087446,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_014 -That's all for now-.mp3],,,,,This phrase is often used before getting off the phone.,014,,,[sound:SLAT1_014 -แค่นี้นะ-.mp3],
"""อะไรนะ""","""What did you say?""",FALSE,Thai::~phrases,1442747087447,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_015 -What did you say--.mp3],,,,,"Short for ""คุณว่าอะไรนะ""",015,,,[sound:SLAT1_015 -อะไรนะ-.mp3],
"""พาเพื่อนไปเลี้ยง""","""I took friends out for a treat""",FALSE,Thai::~phrases,1442747087448,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_016 -I took friends out for a treat-.mp3],,,,,,016,,,[sound:SLAT1_016 -พาเพื่อนไปเลี้ยง-.mp3],
"""แถวนีมีของ อร่อยๆ""","""This area has a lot of delicious food""",FALSE,Thai::~phrases,1442747087449,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_017 -This are has a lot of delicious food-.mp3],,,,,,017,,,[sound:SLAT1_017 -แถวนั้นมีของอร่อย-.mp3],
"""ลองใส่ดู""","""Try to put it on""",FALSE,Thai::~phrases,1442747087450,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_018 -Try to put it on-.mp3],,,,,,018,,,[sound:SLAT1_018 -ลองใส่ดู-.mp3],
"""แล้วไง""","""So what!""",FALSE,Thai::~phrases,1442747087451,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_019 -So what!-.mp3],,,,,,019,,,[sound:SLAT1_019 -แล้วไง-.mp3],
"""หิวจะตายอยู่แล้ว""","""I'm starving to death""",FALSE,Thai::~phrases,1442747087452,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_020 -I'm starving to death-.mp3],,,,,"You can drop ""อยู่แล้ว"" - Other usage: ""เหนื่อยจะตาย"" ""I'm dead beat"" or ""ง่วงจะตาย"" ""I'm so sleepy""",020,,,[sound:SLAT1_020 -หิวจะตายอยู่แล้ว-.mp3],
"""น่ารักเหมือนเดิม""","""You're as cute as ever""",FALSE,Thai::~phrases,1442747087453,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_021 -You're as cute as ever-.mp3],,,,,,021,,,[sound:SLAT1_021 -น่ารักเหมือนเดิม-.mp3],
"""ขอเข้าห้องน้ำก่อน""","""I'd like to use the bathroom first""",FALSE,Thai::~phrases,1442747087454,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_022 -I'd like to use the bathroom first-.mp3],,,,,,022,,,[sound:SLAT1_022 -ขอเข้าห้องน้ำก่อน-.mp3],
"""เดี๋ยวมา""","""I'll be right back""",FALSE,Thai::~phrases,1442747087455,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_023 -I'll be right back-.mp3],,,,,,023,,,[sound:SLAT1_023 -เดี๋ยวมา-.mp3],
"""หยุดกลางทาง""","""To stop on the way""",FALSE,Thai::~phrases,1442747087456,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_024 -To stop on the way-.mp3],,,,,,024,,,[sound:SLAT1_024 -หยุดกลางทาง-.mp3],
"""ไม่ถือ""","""I don't mind that""",FALSE,Thai::~phrases,1442747087457,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_025 -I don't mind that-.mp3],,,,,"Literally: ""I don't carry (it)""",025,,,[sound:SLAT1_025 -ไม่ถือ-.mp3],
"""เขาพูดภาษาพื้นๆ""","""He uses basic, common language""",FALSE,Thai::~phrases,1442747087458,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,"[sound:SLAT1_026 -He uses basic, common language-.mp3]",,,,,,026,,,[sound:SLAT1_026 -เขาพูดภาษาพื้นๆ-.mp3],
"""ทำไปเรื่อยๆ""","""Keep doing it""",FALSE,Thai::~phrases,1442747087459,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_027 -Keep doing it-.mp3],,,,,"Other usage: ""กินไปเรื่อยๆ"" ""Keep eating""",027,,,[sound:SLAT1_027 -ทำไปเรื่อยๆ-.mp3],
"""มันยังไงกัน""","""How's it going?"" (""What's that all about"")",FALSE,Thai::~phrases,1442747087460,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_028 -What's that all about-.mp3],,,,,,028,,,[sound:SLAT1_028 -มันยังไงกัน-.mp3],
"""เราจะเหมารถไป""","""We will rent a car and a driver""",FALSE,Thai::~phrases,1442747087461,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_029 -We will rent a car and a driver-.mp3],,,,,"""เหมา"" means ""to take or buy all of something""",029,,,[sound:SLAT1_029 -เราจะเหมารถไป-.mp3],
"""“ผมเป็นหนี้บุญคุณเขา""","""I'm indebted to him""",FALSE,Thai::~phrases,1442747087462,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_030 -I'm indebted to him-.mp3],,,,,,030,,,[sound:SLAT1_030 -ผมเป็นหนี้บุคุณเขา-.mp3],
"""ขอเป็นโอกาสหน้า""","""I'd like to do it next time""",FALSE,Thai::~phrases,1442747087463,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_031 -I'd like to do it next time-.mp3],,,,,,031,,,[sound:SLAT1_031 -ขอเป็นโอกาสหน้า-.mp3],
"""เราได้กำไร""","""We made a profit""",FALSE,Thai::~phrases,1442747087464,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_032 -We made a profit-.mp3],,,,,,032,,,[sound:SLAT1_032 -เราได้กำไร-.mp3],
"""เขาพูดไม่รู้เรื่อง""","""I don't understand what he says""",FALSE,Thai::~phrases,1442747087465,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_033 -I don't understand what he says-.mp3],,,,,,033,,,[sound:SLAT1_033 -เขาพูดไม่รู้เรื่อง-.mp3],
"""พอได้ก็ได้มาก""","""When it rains, it pours""",FALSE,Thai::~phrases,1442747087466,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,"[sound:SLAT1_034 -When it rains, it pours-.mp3]",,,,,,034,,,[sound:SLAT1_034 -พอได้ก็ได้มาก-.mp3],
"""รอไม่ไหวแล้ว""","""I can't wait any longer""",FALSE,Thai::~phrases,1442747087467,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_035 -I can't wait any longer-.mp3],,,,,"Other usage: ""ทำไม่ไหวแล้ว"" ""I can't do it anymore"" or ""ทนไม่ไหวเล้ว"" ""I can't stand it anymore""",035,,,[sound:SLAT1_035 -รอไม่ไหวแล้ว-.mp3],
"""มันไม่มีประโยชน์""","""It's useless""",FALSE,Thai::~phrases,1442747087468,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_036 -It's useless-.mp3],,,,,,036,,,[sound:SLAT1_036 -มันไม่มีประโยชน์-.mp3],
"""ใครบอก""","""Who told you that?""",FALSE,Thai::~phrases,1442747087469,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_037-1 -Who told you that--.mp3],,,,,,037.1,,,[sound:SLAT1_037 -ใครบอก-.mp3],
"""คนใจดำ""","""Cruel hearted person""",FALSE,Thai::~phrases,1442747087470,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_038 -Cruel-hearted person-.mp3],,,,,"Literally: ""A black-hearted person""",038,,,[sound:SLAT1_038 -คนใจดำ-.mp3],
"""อย่าหลอกกันนะ""","""Don't deceive me""",FALSE,Thai::~phrases,1442747087471,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_039 -Don't deceive me-.mp3],,,,,,039,,,[sound:SLAT1_039 -อย่าหลอกกันนะ-.mp3],
"""เขาถูกเมียทิ้ง""","""His wife dumped him""",FALSE,Thai::~phrases,1442747087472,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_040 -His wife dumped him-.mp3],,,,,"Literally: ""He was dumped by his wife""",040,,,[sound:SLAT1_040 -เขาถูกเมียทิ้ง-.mp3],
"""ทำไปทำไม""","""Why are you doing that?""",FALSE,Thai::~phrases,1442747087473,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_041-2 -What's the good of doing it--.mp3],,,,,"Other usage: "" จะรู้ไปทำไม"" ""Why do you want to know?""",041.1,,,[sound:SLAT1_041 -ทำไปทำไม-.mp3],
"""เผลอไม่ได้""","""Can't be careless""",FALSE,Thai::~phrases,1442747087474,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_042 -Can't be careless-.mp3],,,,,"Also means ""one has to keep an eye on it all the time""",042,,,[sound:SLAT1_042 -เผลอไม่ได้-.mp3],
"""หมดตัวแล้ว""","""I'm penniless""",FALSE,Thai::~phrases,1442747087475,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_043 -I'm penniless-.mp3],,,,,,043,,,[sound:SLAT1_043 -หมดตัวแล้ว-.mp3],
"""ขอหลับแป๊บนึง""","""I'd like to take a little nap""",FALSE,Thai::~phrases,1442747087476,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_044 -I'd like to take a little nap-.mp3],,,,,,044,,,[sound:SLAT1_044 -ขอหลับแป๊บนึง-.mp3],
"""รู้แล้วล่ะ""","""I already know that""",FALSE,Thai::~phrases,1442747087477,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_045 -I already know that-.mp3],,,,,,045,,,[sound:SLAT1_045 -รู้แล้วล่ะ-.mp3],
"""โอ้โห""","""Wow!""",FALSE,Thai::~phrases,1442747087478,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_046 -Wow!-.mp3],,,,,,046,,,[sound:SLAT1_046 -โอ้โห-.mp3],
"""รักคุณเท่าฟ้า""","""I love you more than anything in the world""",FALSE,Thai::~phrases,1442747087479,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_047 -I love you more than anything in the world-.mp3],,,,,"Literally: ""I love you as much as the sky""",047,,,[sound:SLAT1_047 -รักคุณเท่าฟ้า-.mp3],
"""เอาไปซ่อนไว้ไหน""","""Where did you hide it?""",FALSE,Thai::~phrases,1442747087480,~Speak like a Thai,leech ~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_048 -Where did you hide it--.mp3],,,,,,048,,,[sound:SLAT1_048 -เอาไปซ่อนไว้ไหน-.mp3],
"""อยากลองดี""","""I want to try it (even though I know it's dangerous)""",FALSE,Thai::~phrases,1442747087481,~Speak like a Thai,~Speak-like-a-Thai-vol-1,,,[sound:SLAT1_049 -I want to try it (even though I know it's dangerous)-.mp3],,,,,,049,,,[sound:SLAT1_049 -อยากลองดี-.mp3],
