Front,Back,Audio,rank,noteId,tags
เข้า,enter,[sound:google-e94fdd8a-970c0f01-c8d10bfa-68c6ba97-3664307f.mp3],44,1399818768015,
ชั้น,layer; level; grade,[sound:google-c46622ad-cea2f45a-7b6019fd-86e6e517-0f56de7a.mp3],45,1399818768016,
ซึ่ง,which,[sound:google-f30e1b43-c9c68e73-e26b0bb2-9da68b4c-8648c4be.mp3],46,1399818768017,
ลง,down,[sound:google-aa771c3c-48e22365-66707f6d-94f991e4-4089a5d5.mp3],47,1399818768018,
ถ้า,if,[sound:google-58f0721b-d5b93644-27816c4b-609e3bb1-47ecca80.mp3],48,1399818768019,
ตัว,body,[sound:google-50f38c42-ed49022d-66572ca1-930205dc-2bbacb68.mp3],49,1399818768020,
ใช้,use,[sound:google-a10814fd-f86a6615-82d79808-892592bb-95cb3d36.mp3],50,1399818768021,
ตาม,follow; acccording,[sound:google-b1204b89-49d48640-4c8d7670-f88d62ae-79e2c335.mp3],51,1399818768022,
อีก,more,[sound:google-bc7c82a2-d1c9e7a8-e6ea4dd1-1821432a-d2c6499d.mp3],52,1399818768023,
บาง,some; thin,[sound:google-2cebea75-dcf87657-fb583531-4fc01695-c7961acd.mp3],53,1399818768024,
ทำให้,make,[sound:google-651da9dc-01d10e2a-d1b70f81-34cf7c26-e0ee93e6.mp3],54,1399818768025,
ทาง,way; direction,[sound:google-4cc265d4-ab9ca32b-4f7413a4-8bedf514-11c306d2.mp3],55,1399818768026,
แบบ,model; style,[sound:google-78e8fe45-678c2a5c-46006b76-303e852a-4e5e8a56.mp3],56,1399818768027,
ออก,exit,[sound:google-b4a383ed-8939d138-ac6eea9b-6431cf50-c9b00b9f.mp3],57,1399818768028,
ที่สุด,most,[sound:google-a68422af-043693d4-f8c1ea2f-d220ef92-37951b53.mp3],58,1399818768029,
เรา,we; us,[sound:google-7fb8ef9d-b46697fa-fa93a3fd-0ed3f24b-eafd2242.mp3],59,1399818768030,
โดย,by,[sound:google-2c19d995-4c0ae059-047fab42-d5972b60-3988a4a4.mp3],60,1399818768031,
ดี,good,[sound:google-8c96cdbd-1a4ec958-45421a1f-a21a34c7-6f8aafe4.mp3],61,1399818768032,
เพื่อ,for,[sound:google-11f31d37-2b627920-c744140d-a106b841-fb54e552.mp3],62,1399818768033,
จึง,therefore,[sound:google-93845900-1cb76dbe-8d61484e-f7baa9ea-064343d9.mp3],63,1399818768034,
ต่อ,to; connector; per,[sound:google-afde040f-8923375d-27e8664d-0676b3e0-c712ba65.mp3],64,1399818768035,
ครั้ง,time,[sound:google-283f6c9a-64204506-4717afeb-3f98dfbd-dbe4b7fa.mp3],65,1399818768036,
เขา,he,[sound:google-8653d1cb-0d31b8e2-d0f14210-b2736ba9-ac52a951.mp3],66,1399818768037,
หลาย,many,[sound:google-b79af292-57b4baf6-14eb6ffe-0bc51a53-de8714b0.mp3],67,1399818768038,
ทุก,each,[sound:google-70de0ab2-c9816dbb-1b00cae1-76f6b9f6-ffba0c12.mp3],68,1399818768039,
ผู้,person,[sound:google-0cc24767-7b53c590-98cf631f-d6a12eac-435f407c.mp3],69,1399818768040,
น้อย,little,[sound:google-87c47961-fab59d54-7a4532db-19c9f34b-19725fa7.mp3],70,1399818768041,
คือ,is,[sound:google-deb74366-dd5f9c29-1c17ca90-98a96aa3-764b6136.mp3],71,1399818768042,
หาก,if,[sound:google-26742d13-b8cd134b-14f4dc8f-e0e80889-81b47e66.mp3],72,1399818768043,
เกิด,born,[sound:google-b7f64943-2b2ffe3a-116e1f9e-47ddc98c-b132b0a2.mp3],73,1399818768044,
ปี,year,[sound:google-c9a8c6dc-8b1a0af2-1693d45d-87ee3d9c-8a69378f.mp3],74,1399818768045,
งาน,work; festival,[sound:google-e450da6f-b4bcf8ab-e6525999-934b5883-e0aac52a.mp3],75,1399818768046,
ใหม่,new,[sound:google-a6f99875-a071b851-12b935be-e2ea9c9f-e069de35.mp3],76,1399818768047,
ตั้ง,set,[sound:google-dc62cbed-44c59653-ab976b0d-52e6ce36-f3daf2d6.mp3],77,1399818768048,
ส่วน,section,[sound:google-03433937-bf35b0af-76b51a5e-c4f48c93-e25b1e8d.mp3],78,1399818768049,
รับ,receive,[sound:google-0a239068-548c403f-e673cf6c-e5aa6268-012d0f71.mp3],79,1399818768050,
แรก,first,,80,1399818768051,
พระ,monk,[sound:google-7d801a53-e65f6093-9a37f08a-2b179dbf-c6d5518a.mp3],81,1399818768052,
ทำงาน,work,[sound:google-20ffe48c-6267bedd-cbfdfd70-93354158-3ec96a2a.mp3],82,1399818768053,
วัน,day,[sound:google-67cdd219-636ea370-8aa0a96f-92ea8437-75c956d8.mp3],83,1399818768054,
ช่วย,help,[sound:google-76889c19-efcb2534-ffe63246-97808a99-de0adbc7.mp3],84,1399818768055,
เพียง,only,[sound:google-59999586-eff619fb-fe166804-19bbacb4-55152be0.mp3],85,1399818768056,
อาจ,may,[sound:google-d4acca09-cc194afc-6b5d2034-ca216220-f1013284.mp3],86,1399818768057,
อื่น,another,[sound:google-f0b7fbef-39e76c3d-037217a5-06650314-191cbdec.mp3],87,1399818768058,
ขนาด,size,[sound:google-cfb7dc9e-9dc19972-c626ed53-7a0dd0c7-876fae65.mp3],88,1399818768059,
นัก,very; extremely,[sound:google-373f29ea-d198d777-1cd3051a-98043898-40bfea53.mp3],89,1399818768060,
เริ่ม,begin,[sound:google-01f900f7-3ebf1fa0-bc3c36c2-e4602994-e682b6b3.mp3],90,1399818768061,
เด็ก,child,[sound:google-102e479e-8fc9b21f-a949075f-befdf755-57e10cb5.mp3],91,1399818768062,
ชีวิต,life,[sound:google-05ff382e-4c6c5ea7-c7ac91cb-ea10aadb-70d41683.mp3],92,1399818768063,
สูง,high,[sound:google-46157132-9cecc2dd-73f62578-68218748-c2abc1c4.mp3],93,1399818768064,
ก่อน,before,[sound:google-f7950e8c-4d9f3e5a-dacce67c-add1ec6b-f0f5b446.mp3],94,1399818768065,
ต่อไป,next,[sound:google-75f9d11b-19996b34-dace3c95-ecf7635d-8460c469.mp3],95,1399818768066,
เปลี่ยน,change,[sound:google-a4d5eac8-e5f23747-bb8958ce-d829b5a5-4735b0d1.mp3],96,1399818768067,
ต่าง,different,[sound:google-fa53086f-eb8d4793-2554fafb-95da6fca-65db45f8.mp3],97,1399818768068,
ดู,look at; examine,[sound:google-3ebb4654-a2424040-2efbb602-83293b17-f4ba5e67.mp3],98,1399818768069,
แห่ง,location; place; spot,[sound:google-e8e01044-c8085c0f-45ae0789-31623a75-d4def93e.mp3],99,1399818768070,
ใหญ่,large,[sound:google-2a682cc1-a578ec2d-b2c1fd25-371db14f-bda2da42.mp3],100,1399818768071,
หา,find,[sound:google-e29e6a8d-01ecfec9-d0bff666-c00a32cb-3007f0e8.mp3],101,1399818768072,
สำหรับ,for,[sound:google-f8e274c2-4d8b468a-bbedbb8f-0186b383-7c9955ff.mp3],102,1399818768073,
ผม,I (mostly male); hair (on head),[sound:google-5b2bc60e-1d207dd2-e997bcb1-c1b31478-7270aac8.mp3],103,1399818768074,
กลาง,middle; center,[sound:google-667b5661-b7186676-99128404-605cb459-0cac837c.mp3],104,1399818768075,
ก็ได้,it is alright to,[sound:google-4d5fcb7b-81523cfe-df3084e7-968b5e0b-19ed0a89.mp3],105,1399818768076,
นอก,out,[sound:google-7d0ed383-891ab447-0c0d33ab-88eb03dc-9018e1df.mp3],106,1399818768077,
ด้าน,side,[sound:google-094edc0d-659b1772-1c2fba0e-161ff1d7-6b50a0e4.mp3],107,1399818768078,
คุณ,you,[sound:google-54801458-9af22fd8-8f0ad869-2dc1178e-839b5be5.mp3],108,1399818768079,
เดียว,single; one,[sound:google-15df82c4-74c6a89c-1efdb418-256e9d66-6b382b94.mp3],109,1399818768080,
เมือง,city,[sound:google-af85f03e-d7921e69-ddd200fc-3131c69f-409cbcbb.mp3],110,1399818768081,
สิ่ง,thing,[sound:google-2be43f57-701f4d10-73546609-2509672f-75ffb898.mp3],111,1399818768082,
ตัด,cut,[sound:google-476c53da-7688ffba-b6af7f12-ef68cae6-21194278.mp3],112,1399818768083,
ทรง,"style, hairdo",[sound:google-9dd6eb8c-72262f8e-bd00aac2-bc3fc831-e8508aeb.mp3],113,1399818768084,
นำ,lead,[sound:google-7f151c7d-741d0932-8a878a9a-c00b1a89-cf2b7501.mp3],114,1399818768085,
ผิด,wrong,[sound:google-454cc7eb-475d0e76-8fc984aa-2e731c56-246c1249.mp3],115,1399818768086,
เสีย,waste,[sound:google-a298ce55-30b9d433-0f81fab8-31ac5532-9d6e8fcf.mp3],116,1399818768087,
เอา,take; want,[sound:google-1898cb5b-815c1eaa-e3f117e5-69077d3d-a1a41625.mp3],117,1399818768088,
จน,until,[sound:google-a2a5fbc8-6d95623f-6023ff35-8b1efaef-a92b3450.mp3],118,1399818768089,
เลย,therefore; …at all,[sound:google-b29a5640-43edd3ad-02cce759-10c192a7-1a579466.mp3],119,1399818768090,
คิด,think,[sound:google-ade203cf-94a6018a-b9c3cf45-f37c3867-6c6f3375.mp3],120,1399818768091,
นับ,count,[sound:google-17bf31f0-2d6d92e0-2a376ab4-c04b19d0-5ebfcd4f.mp3],121,1399818768092,
ผ่าน,pass,[sound:google-eba53727-cd72f09f-1d779ea3-0e765457-71a43b26.mp3],122,1399818768093,
เท่านั้น,only,[sound:google-7297f713-17375560-0ae4ed7c-4adfaae5-e52c812a.mp3],123,1399818768094,
ตั้งแต่,since,[sound:google-b2e704f5-95def500-f37ed8da-e6a2eee9-888fc765.mp3],124,1399818768095,
ตอน,when; during,[sound:google-d8672641-63b39257-e0815e20-68b6b70c-be2ffcec.mp3],125,1399818768096,
สามารถ,be able,[sound:google-f6bf55f0-a17b305f-17a3d12c-c5f43918-07c6596c.mp3],126,1399818768097,
เรียก,call,[sound:google-ccca25de-c9946ab7-812e3c46-d58c9f32-0371e1a8.mp3],127,1399818768098,
ชื่อ,name,[sound:google-47f8b20a-0a14f4d0-2099e787-5ff69c3c-bae69608.mp3],128,1399818768099,
ประเทศ,country,[sound:google-9e0aaa04-629e6ebb-fd2e4f82-e15a69f7-57418296.mp3],129,1399818768100,
เอง,only; alone; just,[sound:google-f4459d4d-f4efe393-7fc15522-9dfbbc01-675a6ba9.mp3],130,1399818768101,
ภาพ,image,[sound:google-34482d78-9cbefd22-3ffffc97-eba6c704-c06b8e56.mp3],131,1399818768102,
นอกจาก,in addition to,[sound:google-9de60802-d794bae1-78be6b09-81836964-89ddea16.mp3],132,1399818768103,
อ่าน,read,[sound:google-cb183931-fba1854a-027106c7-207d9a2a-5debc9c2.mp3],133,1399818768104,
เคย,ever,[sound:google-8b135df6-ef02723a-9b4fdabd-4b9ce0a2-dd511d65.mp3],134,1399818768105,
อะไร,what,[sound:google-9b825ae5-d6c72893-dd9ce925-033cfff1-5d729cbb.mp3],135,1399818768106,
กลับ,return,[sound:google-afb774fb-ab14d5a5-9a2a5cea-cdbec24b-bb65188a.mp3],136,1399818768107,
ขอ,ask,[sound:google-7ac0918e-9eb919f7-8205f3ce-ad73991f-b491f959.mp3],137,1399818768108,
โลก,world,[sound:google-6594de66-5b7e794d-258eabb2-5eb0b793-5ee5aa58.mp3],138,1399818768109,
ได้รับ,receive,[sound:google-8e67134a-5419696f-9fb4cf41-a3103a9c-eda44556.mp3],139,1399818768110,
น้ำ,water,[sound:google-79a2be0e-5f97512f-238867a3-c7cfec7a-e0c2dd9a.mp3],140,1399818768111,
เดิม,original; before,[sound:google-a704d7e9-843082a9-ec38b14a-39d86e87-c8a2c13e.mp3],141,1399818768112,
อย่างไร,how,[sound:google-bd58681e-33f355da-1624b0f4-e5ca28c4-7b2c3d52.mp3],142,1399818768113,
ยิ่ง,the more...,[sound:google-4535df37-3c444cd0-6a55b83b-900280d6-1db35333.mp3],143,1399818768114,
บ้าน,home,[sound:google-e8836dad-809d802a-e3f93e3d-5a431c1c-7539c27e.mp3],144,1399818768115,
ฝ่าย,party; side,[sound:google-8eff88fb-1ce50c40-91a6b6b0-f679985d-9387cfc7.mp3],145,1399818768116,
คำ,word,[sound:google-744a2f18-654db449-7c5caaba-1b722cc5-18bf9e97.mp3],146,1399818768117,
พบ,meet; find,[sound:google-865e3849-a2a579fb-5bcf667e-51e2b75c-7f202162.mp3],147,1399818768118,
เข้าใจ,understand,[sound:google-8468a188-befc36c8-06db51e3-94d2911f-24ae3dd0.mp3],148,1399818768119,
อัน,piece (classifier),[sound:google-a31894c5-d818da2e-3b2e3e0a-ed41875f-b6e7100d.mp3],149,1399818768120,
ส่ง,send,[sound:google-aec9fa86-16f0f21d-b8bf93b7-eec3deb6-573438d3.mp3],150,1399818768121,
ถือ,hold,[sound:google-a2e1f4d7-6bc6febd-22535369-aeaa0553-9ff8338a.mp3],151,1399818768122,
มัน,it,[sound:google-1117c02e-9b302b40-7d50b04b-d4573f8b-337a3260.mp3],152,1399818768123,
ที่อยู่,address,[sound:google-bae2000e-073b4406-d445629b-a5614c2b-d43c998a.mp3],153,1399818768124,
แม้,even; &nbsp;though; if; provided,[sound:google-b2bd1b2c-827c7449-63b1dab8-b861fabc-def5ba9f.mp3],154,1399818768125,
กำลัง,power,[sound:google-c1c6eaf4-ea0b9b31-9e5d606e-3a524d57-584f7faa.mp3],155,1399818768126,
ควร,should,[sound:google-5aaf41a0-95c7a5ec-1152326f-d92a5606-c10c2b20.mp3],156,1399818768127,
ปัญหา,problem,[sound:google-a81551d9-ccea83b0-4f3cc75c-2cc1f528-1608ff0c.mp3],157,1399818768128,
ยก,lift; raise,[sound:google-a98311b8-563fcc95-a973ac6b-be11bd3d-6536b8e2.mp3],158,1399818768129,
น่า,ought to,[sound:google-0ac1b0a7-04a5302a-c87c7349-db5ef049-a4f636ad.mp3],159,1399818768130,
ต้น,beginning,[sound:google-0560dcbc-2ca16b6d-8834ac68-5acd9f5b-b8b1d971.mp3],160,1399818768131,
รู้,know,[sound:google-5c7562ac-70c45b3e-221d63dc-3d92dc1e-caf970d6.mp3],161,1399818768132,
เหมือน,as; like,[sound:google-d69e6ab2-97c52e85-c96d1bdc-922e845c-79a020e8.mp3],162,1399818768133,
เท่า,as much as; times (size),[sound:google-9e2dfc71-adffe047-c4d05750-56f518c3-390309d3.mp3],163,1399818768134,
บน,on,[sound:google-557c1715-79269c71-d604e721-4934d963-303c2034.mp3],164,1399818768135,
พยายาม,attempt,[sound:google-a9eb1ce1-76804534-f0db9716-6a4cc3a5-75530895.mp3],165,1399818768136,
จริง,real,[sound:google-c550d988-ccc8be4a-4dc9c490-45fee9bb-4daefa7b.mp3],166,1399818768137,
สร้าง,create,[sound:google-c347fb5b-73e02072-fff85861-c2000d3f-b0ba1ef4.mp3],167,1399818768138,
ร่วม,join,[sound:google-ab804e11-9ba81846-8c5fcd26-fd317df2-694b8584.mp3],168,1399818768139,
บอก,tell,[sound:google-648772b2-e91488e7-252ba37d-ee32c157-b9f11a25.mp3],169,1399818768140,
ตลอด,throughout; always,[sound:google-2dd189c0-274ee46e-5aaa2c04-291ed4ec-f89bf420.mp3],170,1399818768141,
เช่น,like,[sound:google-ccd279e9-d1251d44-91656a89-721f498a-4b4d1bc7.mp3],171,1399818768142,
หนังสือ,book,[sound:google-0d25bd20-87040cc0-7f161ce1-32ec060c-84cad22a.mp3],172,1399818768143,
ละ,each,[sound:google-f2ec0a9d-4c4a1aa7-c5e0aefc-639b7877-03b9004e.mp3],173,1399818768144,
ท่าน,you (polite),[sound:google-411c2b13-12539644-74adc12e-a429871b-7f1b8200.mp3],174,1399818768145,
เก็บ,store; put away,[sound:google-048d41bb-225b9894-a3eab2bb-e85d7a4d-770e8111.mp3],175,1399818768146,
ไม่ว่า,regardless of; no matter what,[sound:google-662ecf33-9859e543-08a2d0a6-4e759dc1-7f13b3fb.mp3],176,1399818768147,
ผล,results,[sound:google-d47459f2-e9013294-ac3e6623-b07182c5-d49ae4ff.mp3],177,1399818768148,
บ้าง,some,[sound:google-8f8dbf5a-f7ed71f5-14c125e3-c8181628-7790a082.mp3],178,1399818768149,
ใคร,who,[sound:google-3db4fbad-5030dff7-8dc491f5-56d8897d-b201f5f5.mp3],179,1399818768150,
แก่,to; old,[sound:google-66202da1-a6c3a1dc-b848fef1-cb7c04bb-0d8626a1.mp3],180,1399818768151,
หลัง,after; back,[sound:google-52a47df4-5dd24cab-eca11a70-6b9a1b34-0af051e4.mp3],181,1399818768152,
กลายเป็น,become,[sound:google-90d5de6f-104f8dbc-a5c98528-ad1c9984-31bfdbd3.mp3],182,1399818768153,
จัด,ajust; arrange; fix,[sound:google-c87a5545-eeaebecc-7e9cfb33-591a1cc1-4a17a1fb.mp3],183,1399818768154,
ใช่,correct,[sound:google-a62b6583-2b3f739d-ec3ed64c-d501f820-b38ebee2.mp3],184,1399818768155,
เลือก,select,[sound:google-cfac6d59-fef2a96e-e111c7c6-ee5e3770-afd9781f.mp3],185,1399818768156,
เธอ,her,[sound:google-b619ba24-da5d70c1-231c55ed-8510d603-087c4d16.mp3],186,1399818768157,
ลูก,child,[sound:google-2e171ef3-46d869ef-ed5a9455-68acf886-2248a729.mp3],187,1399818768158,
คง,probably,[sound:google-c25ef371-59d3d44d-1ca2862f-9091efdc-7c88ba17.mp3],188,1399818768159,
ที่มา,origin; source; cause,[sound:google-ddece77d-39d47dfb-974f01c7-ccafc4dc-f4c38498.mp3],189,1399818768160,
ทหาร,soldier,[sound:google-5513d3d5-591995c8-79dcdfba-6706d032-93e7d8a2.mp3],190,1399818768161,
ตัวเอง,itself,[sound:google-240d1ac6-965edb48-ad683930-547a917c-7ba5e7c5.mp3],191,1399818768162,
ต้องการ,want,[sound:google-86ae165e-f78116ee-9ee3b971-2b83edf1-21e29faa.mp3],192,1399818768163,
ทั้งหมด,total,[sound:google-fe08ff60-1bf714bf-c0266d9b-5b158ac0-daeee29f.mp3],193,1399818768164,
แสดง,show,[sound:google-52327e26-3e11a988-c2e9775a-9641373f-c824e88e.mp3],194,1399818768165,
ง่าย,simple; easy,[sound:google-c352c6ce-095cf552-3d71ba9b-968c8f8e-288300d0.mp3],195,1399818768166,
ระหว่าง,between,[sound:google-adf06472-5dda3f54-421c5b06-48e25a88-4ed1df74.mp3],196,1399818768167,
พูด,say,[sound:google-1f173148-34d4f5f7-2a3481b5-283770d7-e868f2c6.mp3],197,1399818768168,
ใจ,mind,[sound:google-e87702b7-924571ff-ffbfead7-88716f5f-a8b4e8bd.mp3],198,1399818768169,
อาหาร,food,[sound:google-a4974278-8490d7c7-f65acf4d-5710dd67-bd9d0e4b.mp3],199,1399818768170,
ใด,any,[sound:google-a7fcb140-4e4fad55-4f5739d1-8b139679-27071e68.mp3],200,1399818768171,
กลุ่ม,group,[sound:google-3447d64b-012bc2a6-c254ba36-8df9cfa6-67484183.mp3],201,1399818768172,
ช่วง,phase,[sound:google-d3468851-7823e64b-2d14e907-6871956a-d2baafbe.mp3],202,1399818768173,
พอ,enough,[sound:google-6b250dc8-97f8d137-ad07d525-0549bf1a-bea3229b.mp3],203,1399818768174,
อยาก,want,[sound:google-74e62089-919f861b-e675172c-b257d52b-9daa2e74.mp3],204,1399818768175,
เงิน,money,[sound:google-9062925f-ad3de3d6-27731c58-c83f100a-a521d660.mp3],205,1399818768176,
รวม,including,[sound:google-3d705c53-8fa786c8-ed9cceca-53a888bc-3ee0879a.mp3],206,1399818768177,
หน้า,page; front,[sound:google-202830d1-e2ec1129-d59399dd-358b5112-a7fa536f.mp3],207,1399818768178,
สี,color,[sound:google-8a93dfca-65e8f344-d5a93505-f713fa34-40064a0d.mp3],208,1399818768179,
เขียน,write,[sound:google-9cc2c856-deb79ac9-5428c9e3-5b26e85a-d165545f.mp3],209,1399818768180,
ฉัน,I (mostly female),[sound:google-5d0e0f7e-5cf69748-65626d73-83b62506-af311b50.mp3],210,1399818768181,
ชาย,man,[sound:google-e9450ea4-0fe3f6b5-6b816f2a-74cfa595-c293a789.mp3],211,1399818768182,
โอกาส,chance,[sound:google-c302d50a-5cbf5cee-39d61608-6f92e5dd-0f0fcf23.mp3],212,1399818768183,
ดัง,as; loud,[sound:google-316ad274-79d29bc8-db394a14-aee0908d-e509ce38.mp3],213,1399818768184,
เสมอ,always,[sound:google-3a35f9d8-b1794e74-e0a70e82-20c31c6a-c104c549.mp3],214,1399818768185,
นาย,Mr.,[sound:google-2622fe11-7d2b7d59-eae9c384-5ef6a807-69fe565c.mp3],215,1399818768186,
ชาติ,nation,[sound:google-ddca927d-91f4ce72-7e0e2d12-718f6b4d-4158aa72.mp3],216,1399818768187,
แม่,mother,[sound:google-47bffd0f-6ea40c40-5adebbf6-3a66bc58-5750382c.mp3],217,1399818768188,
เรียน,study,[sound:google-952bcde8-c36ee720-71636b9c-c59a0176-c3d80abd.mp3],218,1399818768189,
เสียง,sound,[sound:google-a5f202a2-003b5404-754ac073-e3355905-9c19b6e6.mp3],219,1399818768190,
รัก,love,[sound:google-fa95b631-55980d4a-321c52e0-c2847bd6-eff9f667.mp3],220,1399818768191,
ทราบ,know,[sound:google-e4540eee-6dc69ab7-abb1bafa-c63b5b86-34fc0d16.mp3],221,1399818768192,
โรง,building; structure,[sound:google-84f7965b-508dada0-919771a0-741d0747-27b18f6f.mp3],222,1399818768193,
เชื่อ,believe,[sound:google-16ac8c48-e7747064-e64ef1fb-c160ce41-ad7b1668.mp3],223,1399818768194,
ตน,self,[sound:google-8e1e7161-1e8e77ca-d4d012c1-8c4b9e3f-7cd55130.mp3],224,1399818768195,
ระดับ,level; grade,[sound:google-b843a27f-fd0528ab-8e7458c8-47465708-e520e4de.mp3],225,1399818768196,
ครอบครัว,family,[sound:google-09726293-6c3dc322-ff23dfbb-46dfe74a-cc3ccf02.mp3],226,1399818768197,
เปิด,open,[sound:google-f3c9a647-19a6b727-90ebe35f-db08828a-a11ab303.mp3],227,1399818768198,
ชอบ,like,[sound:google-2e768b13-dbb20036-b015cc0d-2126a2ac-befa2784.mp3],228,1399818768199,
ภายใน,within,[sound:google-504dec8e-8ae30629-21923f3c-5e13ff47-35f9d2a0.mp3],229,1399818768200,
เหลือ,remainder,[sound:google-ce54c28b-4e96c120-0d344199-1cd1e38c-ab1a6ab3.mp3],230,1399818768201,
แทน,instead,[sound:google-36bfc852-fc25cc14-a5a75c77-6acde9e1-27dd9c83.mp3],231,1399818768202,
มอง,view,[sound:google-c11f57c7-8c954cf8-97e0c3df-80e1e81c-5ebb97ea.mp3],232,1399818768203,
พวก,group; party,[sound:google-30c412c9-aa2e4d11-49b1b4b4-7b2bf4a5-788acd50.mp3],233,1399818768204,
รูป,image,[sound:google-39cb9c49-26006f14-e3a8e330-7426c365-22029511.mp3],234,1399818768205,
