Word,In Anki?
วา,False
เอก,False
หนี,True
ล่าง,False
สังเกต,False
ศิลปะ,False
สวย,True
ทำหน้าที่,False
บ่อย,True
บุญ,True
แสง,False
ประสบ,False
ไฟ,False
บรรดา,False
ตัวอย่าง,False
ฟ้า,False
อธิบาย,True
เห็นด้วย,False
ขั้น,False
กิจกรรม,False
ธุรกิจ,True
กระทรวง,False
เส้น,False
สภา,False
สรุป,False
เจริญ,True
ประการ,False
ช่าง,False
ละคร,True
กรุง,False
สืบ,False
ทำการ,False
โรค,False
สวน,True
หวัง,True
ห่าง,False
แต่งงาน,False
จ่าย,True
เย็น,True
ลอง,True
พรรค,False
ยืน,True
สงคราม,False
เจอ,True
นักศึกษา,False
ผู้นำ,False
เข้าสู่,False
คณะกรรมการ,False
ทุน,False
ขณะที่,False
ความสามารถ,False
รุนแรง,False
ร่างกาย,False
ขยาย,False
แสน,True
ใกล้ชิด,False
นก,True
คุณภาพ,False
ยอด,False
ระ,False
โบราณ,False
มั่นคง,False
ล้าน,True
เสด็จ,False
ดำเนิน,False
หลักฐาน,False
เปล่า,True
สาเหตุ,False
วิจัย,False
พยาบาล,True
เป็นต้น,False
ชวน,False
แปลก,False
สัญญา,True
พืช,False
ราชการ,False
กรอบ,False
พื้น,True
ดนตรี,False
จริงจัง,False
ดังนี้,False
ค่อย,False
ตรวจ,True
ทั้งหลาย,False
ค้า,False
แก้ว,True
รายงาน,True
แปล,True
ช้า,True
ประสบการณ์,False
ทำร้าย,False
จากนั้น,False
พ้น,False
ขา,True
รูปแบบ,False
คุย,True
แผ่นดิน,False
คดี,False
วิ่ง,True
ร้อง,True
เชิญ,True
เหล็ก,False
อัตรา,False
ตอนนี้,True
หมาย,False
ตำรา,False
ช้าง,True
ถัง,True
เช่นนี้,False
พลัง,False
หัน,False
อันตราย,True
บังคับ,False
เน้น,False
อุตสาหกรรม,False
นอกจากนี้,False
วันนี้,True
ดิฉัน,False
กี่,False
ถ่าย,True
เที่ยว,True
กอง,False
ปลอดภัย,False
ที่ดิน,False
เรือน,False
ส่งเสริม,False
เจ้าหน้าที่,False
บันทึก,False
มิตร,False
สบาย,True
ขัด,False
สมบัติ,False
ในขณะที่,False
หนุ่ม,True
พร้อมกับ,False
หรอก,True
ปริมาณ,False
รายได้,True
ศาล,False
เสา,False
ว่าง,True
กระบวนการ,False
ฝรั่ง,False
แถว,False
เพิ่ง,False
โทษ,True
คลื่น,False
หนู,True
สูงสุด,False
ริ,False
ได้ยิน,True
อ่อน,False
รายละเอียด,False
ความหมาย,False
พัน,True
ห้า,True
แก,True
ประเด็น,False
จิต,False
คราว,True
ผิว,True
แทบ,True
วงศ์,False
เชิง,False
ละเอียด,False
ลม,True
ฉาก,False
เกาะ,True
ฝีมือ,True
มิได้,False
งดงาม,False
ก้าว,False
เช่า,True
ศาสนา,True
ความสำคัญ,True
ภาวะ,False
กระจาย,False
แนวทาง,False
ปกครอง,False
ข้าพเจ้า,True
เด็ดขาด,True
องค์กร,False
ชั่ว,False
ฝัน,True
ประตู,True
พิสูจน์,True
มีชื่อ,False
ผสม,True
ร้อยละ,False
กลิ่น,True
นคร,False
กิจการ,False
แม่น้ำ,True
แม้ว่า,False
สงสัย,False
สา,False
โทรทัศน์,False
เติบโต,False
ตำรวจ,False
เพศ,False
ความสำเร็จ,False
เพราะว่า,False
เด่น,False
แพทย์,False
นึก,True
ประกอบด้วย,False
ต้นไม้,False
อนุญาต,False
ดอก,False
มาตรฐาน,False
น้ำหนัก,False
รส,False
เป้าหมาย,False
วาด,False
ฝน,True
ใช้ได้,False
ภายใต้,False
หลังจากนั้น,True
ทดลอง,False
ผลงาน,False
แทนที่,False
ระเบียบ,False
แท้จริง,False
สมอง,False
รีบ,True
วิทยาศาสตร์,False
ทุกข์,False
ความผิด,False
อย่างยิ่ง,True
สถานการณ์,True
สุ,False
ต่อสู้,False
แพง,True
อันเป็น,False
ร้าย,True
ผี,False
รับผิดชอบ,True
หมายความ,False
สอบ,True
แน่,True
ภายหลัง,False
เพียงพอ,False
นั่นเอง,False
ล่วงหน้า,False
ชื่อเสียง,False
แท้,False
ต่อเนื่อง,False
กาย,False
แล,False
ทั้งสิ้น,False
โดน,True
เสริม,True
ดูเหมือน,False
ปัญญา,False
ชา,False
เช้า,True
คา,False
คำสั่ง,True
หน่วยงาน,False
สมบูรณ์,False
ประธาน,False
กรรม,True
ฐาน,True
คุ้นเคย,False
แจ้ง,True
นาม,False
เรียง,False
กรม,True
เหล่านั้น,False
เคารพ,False
ระบาย,False
กฎ,False
รอง,False
ยื่น,False
ยังไง,False
ยาม,False
เอกชน,False
ภัย,False
รูปร่าง,False
พักผ่อน,False
พฤติกรรม,False
สื่อ,False
อุปกรณ์,False
สถานี,True
เกษตร,False
ที่ผ่านมา,False
จังหวะ,False
จำกัด,False
เทคโนโลยี,False
ท่า,False
สำนักงาน,True
เสื้อ,True
อาคาร,False
แรงงาน,False
ดาว,False
ซา,False
ดวง,True
ท้องถิ่น,False
นิสัย,False
เช่นนั้น,False
ค้นหา,False
สยาม,False
ปัจจัย,False
เสียก่อน,False
ฝึก,True
ประวัติศาสตร์,True
ระบุ,False
ศูนย์,True
เครื่องมือ,False
ลืม,True
น่าสนใจ,False
ดำรง,False
สูบ,False
รับรู้,False
อิสระ,False
หมื่น,True
บริสุทธิ์,False
อ้าง,False
ถวาย,False
สิ่งแวดล้อม,False
ข้างหน้า,True
สัมภาษณ์,False
ติ,True
สัน,False
สายตา,False
ปรับปรุง,False
พนักงาน,True
แตก,True
บุตร,False
แข่งขัน,False
ขัง,False
ภูมิ,False
สมเด็จ,False
ตรงข้าม,False
ต้องหา,False
พอสมควร,False
กร,False
หน่อย,True
อย่างไรก็ตาม,False
ศพ,False
ส่งผล,False
หนังสือพิมพ์,True
ฉาย,False
สุขภาพ,True
สวรรค์,False
บางที,True
โรงงาน,False
ความต้องการ,False
สาขา,False
ทำเป็น,False
ลำดับ,False
ยืนยัน,False
ติดตาม,False
ภายนอก,False
นาที,True
แผน,False
วิเคราะห์,False
เช่นเดียว,False
ความสนใจ,False
สะอาด,True
ซ้อน,False
แปลง,False
รบ,False
บิน,True
สับสน,False
คนเรา,False
บทบาท,False
โฆษณา,False
หลง,False
อาทิตย์,True
น้ำมัน,True
หัก,True
โทรศัพท์,True
ถึงแม้,False
บุหรี่,False
ซ้าย,True
ชัน,False
เขียว,False
ที่ตั้ง,False
ในที่สุด,False
กะ,False
ให้การ,False
ทีเดียว,False
ยิ้ม,True
ข้าราชการ,False
พื้นฐาน,False
หนี้,True
ฝั่ง,False
เสี่ยง,False
ตรวจสอบ,False
ขน,False
ยิ่งใหญ่,False
ยินดี,False
ยาย,True
รถยนต์,True
หน่วย,False
ตะวันตก,False
รอย,False
เอกสาร,True
เก่ง,True
เข็ม,False
สำนัก,False
สนิท,False
กระดาษ,True
สด,True
คอ,True
โรงพยาบาล,True
หิน,False
ตำบล,True
ทั้งที่,False
ราว,False
ห่างไกล,False
สู้,False
ตะวันออก,False
จด,True
จง,False
เพิ่มเติม,False
อบรม,False
เส้นทาง,False
ปืน,False
โต๊ะ,True
รวบรวม,False
เสื้อผ้า,True
มารดา,False
ภาระ,False
คุณค่า,False
แต่ก่อน,False
เลือด,True
กระแส,False
เท่ากับ,False
ผลิตภัณฑ์,False
ขีด,False
พวกเรา,True
ขั้นตอน,False
ตระกูล,False
ดา,False
สิทธิ์,False
นักเขียน,False
คัน,False
บิดา,False
สนุกสนาน,False
ประสิทธิภาพ,False
ผลกระทบ,False
ดึง,False
หัวเราะ,True
เฝ้า,False
หลากหลาย,False
โครงสร้าง,False
สนาม,True
ยิง,False
เยี่ยม,True
หู,True
สวยงาม,False
ฝาก,True
หลักการ,False
โดยที่,False
ทา,True
โน,False
เดือดร้อน,False
ล่า,False
อาวุธ,True
กล่าวถึง,False
แขก,False
บ้านเมือง,False
ดอกไม้,False
ดิ,True
รัฐธรรมนูญ,False
ไง,False
เหยื่อ,False
ถ่ายทอด,False
สตรี,False
ผูก,False
สูญเสีย,False
กรรมการ,False
มุ่ง,False
นิ่ง,False
พันธุ์,False
ที่นั่ง,False
วัตถุ,False
คุม,False
ลำ,False
ปกป้อง,False
เสือ,True
หนทาง,False
ตลอดจน,False
ประวัติ,False
รับประทาน,False
ทบทวน,False
สนุก,False
ไอ,True
ท้อง,True
ลูกชาย,True
ยาวนาน,False
แนวคิด,False
สัญญาณ,False
สหรัฐ,False
นิ้ว,False
ผัก,True
ท่ามกลาง,False
แคบ,False
สมควร,False
ตัน,False
เท,True
คุณสมบัติ,False
พูดคุย,False
นายกรัฐมนตรี,False
ความหวัง,False
วิญญาณ,False
ชื่อว่า,False
ไอ้,False
ที่ไหน,True
จ้าง,True
สถาน,False
คนงาน,False
วิชาการ,False
รถไฟ,True
ล้ำ,False
เล็กน้อย,False
ดินแดน,False
โปรด,True
แง่,False
คะแนน,False
โรงแรม,True
คำพูด,False
จดหมาย,False
พลังงาน,False
ขับ,True
ดื่ม,True
หอม,True
กรุณา,False
เวที,False
เลิศ,False
ประเมิน,False
ระมัดระวัง,False
หนอง,False
กำเนิด,False
เคลื่อนไหว,False
เชื่อม,False
ประสาน,False
ป่วย,True
สะท้อน,False
ฤดู,True
เยอะ,True
เข้มแข็ง,False
สูตร,True
เก่าแก่,False
ฟัน,True
วางแผน,False
เท้า,True
หล่อน,False
เติม,True
ทันสมัย,False
ลุก,False
ลับ,True
ระวัง,True
สะสม,False
ท่องเที่ยว,False
ลอย,True
ชัย,True
พอดี,True
โดยตรง,False
เมีย,True
คิดถึง,True
ข้อความ,False
ประชาธิปไตย,False
ลาย,False
บวช,False
พลอย,False
ลูกค้า,True
ยกเว้น,False
องค์การ,False
ทัน,False
ริม,True
มิใช่,False
ทุกวันนี้,False
เพราะฉะนั้น,False
ย่อย,False
มายัง,False
แถบ,False
คอมพิวเตอร์,True
ชื่นชม,False
ม้า,True
กระตุ้น,False
รี,False
ฝูง,False
รับรอง,True
โค,False
ทิศ,False
ไฟฟ้า,False
ออกแบบ,False
ทน,True
สื่อสาร,False
ชิ,False
ลูกสาว,True
งบประมาณ,False
ทำนอง,False
แล้วแต่,False
ประโยค,False
ลำบาก,True
สร้างสรรค์,False
ภาษี,False
กล้อง,True
กองทัพ,False
ป้า,True
มีอายุ,False
คุณแม่,False
โกรธ,True
ภาพยนตร์,False
แฟน,True
จินตนาการ,True
ทรัพย์สิน,False
ทางเลือก,False
สว่าง,False
หลับ,True
ยศ,False
ยุติธรรม,False
จัดตั้ง,False
ก่อให้เกิด,False
ทางออก,False
เบา,True
ขวา,True
ครอง,False
โค้ง,False
เรียกร้อง,False
ล้ม,True
กาล,False
ค่าใช้จ่าย,False
วงการ,False
สาธารณะ,False
ศักดิ์,False
ตื่น,True
หวาน,True
กลาย,False
ทับ,True
ไก่,True
อิทธิพล,False
เกรง,False
ลงมือ,False
ที่จริง,False
ใกล้เคียง,False
ถัด,False
คาด,False
ยาง,False
ไล่,True
บริโภค,False
แถม,True
หก,True
หนาว,True
ผลประโยชน์,False
นัด,True
ปรารถนา,False
หลาน,False
นั่นคือ,False
จนกว่า,False
ความเชื่อ,False
ทฤษฎี,False
พระราชบัญญัติ,False
เรียบ,False
ประชา,False
ใส,False
เปรียบเทียบ,True
ประดับ,False
เงื่อนไข,False
เตือน,False
โซ,False
บวก,False
เก,False
เหรอ,True
เจ็บ,True
นับถือ,False
คลอง,False
เปอร์เซ็นต์,False
พลิก,False
เพชร,False
อก,False
พุทธ,False
ห่วง,False
ไหว,True
ถึงกับ,False
ตัวแทน,True
กู,False
ธนาคาร,True
นำเข้า,False
ตอนนั้น,False
ทดสอบ,False
ปรึกษา,False
ลบ,True
ชำระ,True
ชี,False
ยักษ์,False
ลงทุน,False
ความเร็ว,False
วัง,False
ทั้งนั้น,False
ฉะนั้น,False
เท่าไร,True
เทคนิค,False
ดัน,False
บันได,False
แต่ว่า,False
เดี๋ยว,False
วิทยา,False
พระเอก,False
แม้กระทั่ง,False
สวม,False
ปู,True
เหลือง,False
ตรา,True
เมตร,False
มั้ย,False
ทอด,True
ตำหนิ,False
ถุง,False
แข็งแรง,True
มาตรการ,False
เลข,False
สาระ,False
ขวบ,False
วิทยุ,False
ฉลาด,False
อนามัย,False
ประสงค์,False
แข็ง,False
รางวัล,True
หมา,True
บรรยาย,False
เศษ,False
ตึก,True
เงียบ,True
ความดี,False
มอบ,False
อบอุ่น,True
เสียหาย,False
อุปสรรค,False
ไข่,True
ถึงขนาด,False
ไหว้,False
ประกัน,False
สระ,True
แขน,True
ขอบ,False
ก้าวหน้า,False
ขนม,False
แพ้,True
ผ่อนคลาย,False
นึกถึง,False
เจตนา,False
นานา,False
เจ้านาย,False
พื้นดิน,False
กำแพง,False
บัญชี,False
วัยรุ่น,False
ถอน,False
แน่ใจ,False
ภูเขา,True
เกียรติ,False
ถนัด,True
อันดับ,False
กระเป๋า,True
พึ่ง,True
รอด,True
ข้า,False
หญ้า,False
หน้าตา,True
แห้ง,False
บ้า,False
เหนื่อย,False
ราชา,False
เกณฑ์,False
วิชาชีพ,False
กิจ,False
คุ้มครอง,False
ค้าขาย,False
เบื่อ,True
ตู้,True
สัปดาห์,True
เทพ,False
กำลังใจ,False
ประสาท,False
พิษ,False
ชั่วคราว,True
ทีละ,False
ตัวเลข,False
พระยา,False
เปิดเผย,True
เบื้องหลัง,False
ฤทธิ์,False
วรรค,False
ผืน,False
ขับรถ,False
แต่งตั้ง,False
เศร้า,True
ประหยัด,False
เนื้อหา,False
ตอบแทน,False
แต่งตัว,False
ทาน,True
สติ,True
ย่าง,True
ตรงนี้,False
เหล่า,False
เผา,False
ทรัพย์,False
ดับ,False
แอบ,True
ลาน,False
ลาว,False
สลับ,False
กาลเวลา,False
ตุลาคม,False
บุรี,False
สิน,False
ส่งออก,False
หุ่น,False
กด,False
อดทน,False
อาทิ,False
ศัตรู,False
ว่าความ,False
ม่วง,False
สมัคร,False
ท้าทาย,False
โจร,False
ปา,False
การเงิน,False
เครื่องบิน,True
ถ้าหาก,False
ไท,False
ขนส่ง,True
รัชกาล,False
ไม่ทัน,True
คิดเห็น,False
สะพาน,True
ผูกพัน,False
ทีม,False
แฝง,False
ฝัง,False
วินิจฉัย,False
สอดคล้อง,False
หลบ,False
ศรัทธา,False
ธิดา,False
ย้อนกลับ,False
หยิบ,True
สลาย,False
ท่อน,False
สมาคม,False
ล้อม,False
ขึ้นอยู่กับ,False
สาน,False
อ้อม,False
ส่วนมาก,False
กังวล,True
หายใจ,False
กำไร,True
บรรจุ,False
สัญลักษณ์,False
นิตยสาร,False
รัฐมนตรี,False
ย้ำ,False
เชิด,False
เกล้า,False
จำหน่าย,False
ตระหนัก,False
จดจำ,False
พล,False
ลิง,True
ถิ่น,False
เชื่อมั่น,False
ระงับ,False
เมตตา,False
ผู้ป่วย,False
สิ้นสุด,False
ประเพณี,False
ตัดสิน,True
น้ำตาล,True
ผู้เขียน,False
ที่พัก,False
สากล,False
โท,False
กลับบ้าน,False
เผชิญ,False
ค้นพบ,False
ความร่วมมือ,False
ชนบท,False
จาน,True
เป็นอัน,False
สนทนา,False
เชื้อ,False
หมู,True
อู่,False
ระเบิด,False
แลกเปลี่ยน,False
ขโมย,False
เว้น,False
ความรับผิดชอบ,False
เผยแพร่,False
ต่อต้าน,False
อาวุโส,False
รอบคอบ,False
ชักชวน,False
เจรจา,False
ผิดพลาด,False
ปรับตัว,False
สัดส่วน,False
ต่อไปนี้,False
แหละ,False
มติ,False
กระบอก,False
นักการเมือง,False
เกษตรกร,False
แหลม,False
เร่ง,False
ชู,True
เลี้ยงดู,False
กระจ่าง,False
ลงโทษ,True
ตื่นเต้น,True
ซ่อน,True
เม็ด,False
นับตั้งแต่,False
พ่อค้า,False
ลูกหลาน,False
ชนะ,False
เหล้า,True
ผู้ปกครอง,False
กุ,False
เลวร้าย,True
ตลก,True
กลางคืน,True
คำนึง,False
เพื่อนบ้าน,True
ปฏิบัติการ,False
หมายเลข,True
ก้อน,False
ใช้งาน,False
หลักสูตร,False
เซ,False
นิด,True
ถอด,True
ขวด,True
ผู้บริโภค,False
จัดทำ,False
เกี่ยว,False
ฟ้อง,False
เท่าไหร่,False
ค่ำ,False
ภูมิภาค,False
การลงทุน,False
ผู้แทน,False
พึง,False
นิทาน,True
อนุรักษ์,False
ทูต,False
เตรียมตัว,False
แสดงออก,False
ผู้นั้น,False
การเลือกตั้ง,False
ก่อสร้าง,False
ทราย,False
เสรี,False
ทิศทาง,False
สิ่งของ,False
อร่อย,True
บัตร,False
กันและกัน,False
ลิ้น,False
ความขัดแย้ง,False
เสมือน,False
ปฏิรูป,False
หลักเกณฑ์,False
ชำนาญ,False
ประธานาธิบดี,False
นอกเหนือ,False
นับว่า,False
พร,True
ลูกจ้าง,False
ไร,False
ทุ่ง,False
รำ,False
จัก,False
หมุน,False
วันหยุด,False
ท่อ,False
ข้างต้น,False
ความพยายาม,False
เฉลี่ย,False
เข้าถึง,False
มูลค่า,False
ห่อ,True
รองเท้า,True
นาฬิกา,True
น.,False
แจก,False
ดารา,True
ปลอม,False
ย้อน,False
ชาน,False
บรรเลง,False
ศึก,False
นั่นแหละ,False
ศักดิ์สิทธิ์,False
ตาราง,False
ยืม,False
มั่นใจ,True
อัด,False
มรดก,False
น่ารัก,False
ต้อนรับ,False
อพยพ,False
โน้ต,False
ที่รัก,False
เบื้องต้น,False
มีเสียง,False
กว้างขวาง,False
ค้าง,False
แดน,False
ประทับใจ,True
ป้าย,False
ร่วมมือ,False
ความเป็นจริง,False
นอกจากนั้น,False
ถาวร,False
ปน,False
ลุง,True
สาธารณสุข,False
วัว,True
สรรพ,True
รู,True
