Cleaned Text,Note Count,Models Involved,Note IDs
ผู้ชาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768504, 1504119762149"
พัก,2,"Basic (+Audio), Basic (and reversed card)","1399818768506, 1720247818300"
จำ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768507, 1504119762498"
สินค้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768509, 1725016158725"
เรียบร้อย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768512, 1685173609407"
ตกลง,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768514, 1685172380416"
เสร็จ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768515, 1504119762405"
ไกล,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768516, 1504119762271"
ทิ้ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768517, 1658125604048"
ข่าว,2,"Basic (+Audio), Basic (and reversed card)","1399818768519, 1694767238072"
ชี้,2,"Basic (+Audio), Basic (and reversed card)","1399818768525, 1737097816911"
สิบ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768526, 1504119762181"
เกือบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768528, 1728446261560"
ทำไม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768539, 1504119762390"
ส่วนตัว,2,"Basic (+Audio), Basic (and reversed card)","1399818768541, 1713931040550"
หมอ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768542, 1504119762250"
ไม่ค่อย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768547, 1691831776776"
เหมาะ,2,"Basic (+Audio), Basic (and reversed card)","1399818768551, 1737959953303"
พี่น้อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768556, 1504119762375"
วัฒนธรรม,2,"Basic (+Audio), Basic (and reversed card)","1399818768562, 1713426552708"
ตี,2,"Basic (+Audio), Basic (and reversed card)","1399818768565, 1708843509764"
หาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768566, 1504119762253"
พิธี,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768567, 1504119762572"
ปฏิเสธ,2,"Basic (+Audio), Basic (and reversed card)","1399818768568, 1722914826979"
รอ,2,"Basic (+Audio), Basic (and reversed card)","1399818768569, 1657719617986"
ปรับ,2,"Basic (+Audio), Basic (and reversed card)","1399818768572, 1694580319457"
อาชีพ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768576, 1769579163238"
ตั้งใจ,2,"Basic (+Audio), Basic (and reversed card)","1399818768580, 1697948466599"
แนะนำ,2,"Basic (+Audio), Basic (and reversed card)","1399818768583, 1673329589046"
รายการ,2,"Basic (+Audio), Basic (and reversed card)","1399818768585, 1725016961983"
หมายถึง,2,"Basic (+Audio), Basic (and reversed card)","1399818768587, 1739081465863"
ปาก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768592, 1504119762235"
คอย,2,"Basic (+Audio), Basic (and reversed card)","1399818768594, 1666158398715"
ล้าง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768596, 1504119762545"
เนื้อ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768597, 1504119762432"
ผ้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768602, 1679724572757"
หัวหน้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768605, 1723798494778"
กลัว,2,"Basic (+Audio), Basic (and reversed card)","1399818768606, 1668845804736"
หนี,2,"Basic (+Audio), Basic (and reversed card)","1399818768617, 1685161266311"
สวย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768621, 1504119762137"
บ่อย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768623, 1504119762583"
บุญ,2,"Basic (+Audio), Basic (and reversed card)","1399818768624, 1711432237011"
อธิบาย,2,"Basic (+Audio), Basic (and reversed card)","1399818768631, 1738822642381"
เห็นด้วย,2,"Basic (+Audio), Basic (and reversed card)","1399818768632, 1729318776920"
ธุรกิจ,2,"Basic (+Audio), Basic (and reversed card)","1399818768635, 1737007399798"
เจริญ,2,"Basic (+Audio), Basic (and reversed card)","1399818768640, 1723267102947"
ละคร,2,"Basic (+Audio), Basic (and reversed card)","1399818768643, 1720247639026"
สวน,2,"Basic (+Audio), Basic (and reversed card)","1399818768648, 1723798452426"
หวัง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768649, 1504119762502"
จ่าย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768652, 1694850628737"
เย็น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768653, 1504119762461"
ลอง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768654, 1504119762400"
ยืน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768656, 1504119762168"
เจอ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768658, 1504119762398"
แสน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768669, 1504119762193"
นก,2,"Basic (+Audio), Basic (and reversed card)","1399818768671, 1709103878849"
ล้าน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768677, 1504119762194"
เปล่า,2,"Basic (+Audio), Basic (and reversed card)","1399818768681, 1700895454073"
พยาบาล,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768684, 1504119762251"
สัญญา,2,"Basic (+Audio), Basic (and reversed card)","1399818768688, 1712466378254"
พื้น,2,"Basic (+Audio), Basic (and reversed card)","1399818768692, 1763268180149"
ตรวจ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768697, 1504119762254"
แก้ว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768700, 1504119762227"
รายงาน,2,"Basic (+Audio), Basic (and reversed card)","1399818768701, 1721670067143"
แปล,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768702, 1504119762300"
ช้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768703, 1504119762133"
ขา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768708, 1504119762243"
คุย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768710, 1694851324774"
วิ่ง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768713, 1504119762170"
ร้อง,2,"Basic (+Audio), Basic (and reversed card)","1399818768714, 1736576785509"
เชิญ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768715, 1685173339921"
ตอนนี้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768718, 1504119762360"
ช้าง,2,"Basic (+Audio), Basic (and reversed card)","1399818768721, 1710822629557"
ถัง,2,"Basic (+Audio), Basic (and reversed card)","1399818768722, 1711711523060"
อันตราย,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768726, 1685173800296"
วันนี้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768731, 1504119762349"
ถ่าย,2,"Basic (+Audio), Basic (and reversed card)","1399818768734, 1721459346899"
เที่ยว,2,"Basic (+Audio), Basic (and reversed card)","1399818768735, 1712199872664"
สบาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768744, 1504119762219"
หนุ่ม,2,"Basic (+Audio), Basic (and reversed card)","1399818768748, 1669698763966"
หรอก,2,"Basic (+Audio), Basic (and reversed card)","1399818768750, 1723268111039"
รายได้,2,"Basic (+Audio), Basic (and reversed card)","1399818768752, 1713670140966"
ว่าง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768755, 1504119762582"
ฝรั่ง,2,"Basic (and reversed card), Thai Food","1399818768757, 1684951241106"
โทษ,2,"Basic (+Audio), Basic (and reversed card)","1399818768760, 1706670188512"
หนู,2,"Basic (+Audio), Basic (and reversed card)","1399818768762, 1713070463889"
ได้ยิน,2,"Basic (+Audio), Basic (and reversed card)","1399818768765, 1680327853550"
พัน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768769, 1504119762191"
ห้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768770, 1504119762176"
แก,2,"Basic (+Audio), Basic (and reversed card)","1399818768771, 1723798993378"
คราว,2,"Basic (+Audio), Basic (and reversed card)","1399818768774, 1737265852414"
ผิว,2,"Basic (+Audio), Basic (and reversed card)","1399818768775, 1739600034625"
แทบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768776, 1695441698698"
ลม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768780, 1504119762557"
เกาะ,2,"Basic (+Audio), Basic (and reversed card)","1399818768782, 1708928471051"
ฝีมือ,2,"Basic (+Audio), Basic (and reversed card)","1399818768783, 1683776488582"
เช่า,2,"Basic (+Audio), Basic (and reversed card)","1399818768787, 1684562739091"
ศาสนา,2,"Basic (+Audio), Basic (and reversed card)","1399818768788, 1725016371750"
ความสำคัญ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768789, 1504119762511"
ข้าพเจ้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768794, 1722063272021"
เด็ดขาด,2,"Basic (+Audio), Basic (and reversed card)","1399818768795, 1712468538625"
ฝัน,2,"Basic (+Audio), Basic (and reversed card)","1399818768798, 1712035079941"
ประตู,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768799, 1504119762116"
พิสูจน์,2,"Basic (+Audio), Basic (and reversed card)","1399818768800, 1734017275973"
ผสม,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768802, 1771664427943"
กลิ่น,2,"Basic (+Audio), Basic (and reversed card)","1399818768804, 1720247131014"
แม่น้ำ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768807, 1769236203157"
นึก,2,"Basic (+Audio), Basic (and reversed card)","1399818768819, 1669188843168"
ฝน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768829, 1504119762554"
หลังจากนั้น,2,"Basic (+Audio), Basic (and reversed card)","1399818768832, 1742018027436"
รีบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768839, 1721460147965"
อย่างยิ่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768843, 1742968480845"
สถานการณ์,2,"Basic (+Audio), Basic (and reversed card)","1399818768844, 1723798471498"
แพง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768847, 1504119762141"
ร้าย,2,"Basic (+Audio), Basic (and reversed card)","1399818768849, 1712120715567"
รับผิดชอบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768851, 1738995435273"
สอบ,2,"Basic (+Audio), Basic (and reversed card)","1399818768853, 1730001421442"
แน่,2,"Basic (+Audio), Basic (and reversed card)","1399818768854, 1737788497650"
โดน,2,"Basic (+Audio), Basic (and reversed card)","1399818768865, 1710996951463"
เสริม,2,"Basic (+Audio), Basic (and reversed card)","1399818768866, 1713670158888"
เช้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768870, 1719719851500"
คำสั่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768872, 1735539060290"
กรรม,2,"Basic (+Audio), Basic (and reversed card)","1399818768876, 1674713815786"
ฐาน,2,"Basic (+Audio), Basic (and reversed card)","1399818768877, 1748751205584"
แจ้ง,2,"Basic (+Audio), Basic (and reversed card)","1399818768879, 1711708316730"
กรม,2,"Basic (+Audio), Basic (and reversed card)","1399818768882, 1729049941968"
สถานี,2,"Basic (+Audio), Basic (and reversed card)","1399818768898, 1700399025398"
สำนักงาน,2,"Basic (+Audio), Basic (and reversed card)","1399818768905, 1758431367224"
เสื้อ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768906, 1504119762519"
ดวง,2,"Basic (+Audio), Basic (and reversed card)","1399818768911, 1660974671958"
ฝึก,2,"Basic (+Audio), Basic (and reversed card)","1399818768919, 1677392396264"
ประวัติศาสตร์,2,"Basic (+Audio), Basic (and reversed card)","1399818768920, 1725016257140"
ศูนย์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768922, 1504119762171"
ลืม,2,"Basic (+Audio), Basic (and reversed card)","1399818768924, 1668845000514"
หมื่น,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768930, 1504119762192"
ข้างหน้า,2,"Basic (+Audio), Basic (and reversed card)","1399818768935, 1678344451183"
ติ,2,"Basic (+Audio), Basic (and reversed card)","1399818768937, 1752038751442"
พนักงาน,2,"Basic (+Audio), Basic (and reversed card)","1399818768941, 1739167052526"
แตก,2,"Basic (+Audio), Basic (and reversed card)","1399818768942, 1711772414394"
หน่อย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768952, 1504119762599"
หนังสือพิมพ์,2,"Basic (+Audio), Basic (and reversed card)","1399818768956, 1751101890370"
สุขภาพ,2,"Basic (+Audio), Basic (and reversed card)","1399818768958, 1722920324079"
บางที,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768960, 1685172442410"
นาที,2,"Basic (+Audio), Basic (and reversed card)","1399818768969, 1660987612077"
สะอาด,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818768974, 1691823468915"
บิน,2,"Basic (+Audio), Basic (and reversed card)","1399818768978, 1737095079149"
อาทิตย์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768984, 1504119762346"
น้ำมัน,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818768985, 1769058716170"
หัก,2,"Basic (+Audio), Basic (and reversed card)","1399818768986, 1739337041504"
โทรศัพท์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768987, 1504119762280"
ซ้าย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768990, 1504119762273"
ในที่สุด,2,"Basic (and reversed card), ~Speak like a Thai","1399818768994, 1442747087557"
ยิ้ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818768998, 1504119762586"
หนี้,2,"Basic (+Audio), Basic (and reversed card)","1399818769001, 1657719439365"
ยาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769008, 1504119762382"
รถยนต์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769009, 1504119762202"
เอกสาร,2,"Basic (+Audio), Basic (and reversed card)","1399818769013, 1729319087393"
เก่ง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769014, 1504119762148"
กระดาษ,2,"Basic (+Audio), Basic (and reversed card)","1399818769018, 1751724759805"
สด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769019, 1504119762488"
คอ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769020, 1504119762237"
โรงพยาบาล,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769021, 1504119762110"
ตำบล,2,"Basic (+Audio), Basic (and reversed card)","1399818769023, 1709791913808"
จด,2,"Basic (+Audio), Basic (and reversed card)","1399818769029, 1763095328854"
โต๊ะ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769035, 1504119762281"
เสื้อผ้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769037, 1504119762514"
เลือด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769042, 1504119762246"
พวกเรา,2,"Basic (+Audio), Basic (and reversed card)","1399818769047, 1751726269592"
หัวเราะ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769059, 1504119762587"
สนาม,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818769063, 1769236741599"
เยี่ยม,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769065, 1685174175960"
หู,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769066, 1504119762233"
ฝาก,2,"Basic (+Audio), Basic (and reversed card)","1399818769068, 1674538567351"
ทา,2,"Basic (+Audio), Basic (and reversed card)","1399818769071, 1708843608047"
อาวุธ,2,"Basic (+Audio), Basic (and reversed card)","1399818769075, 1720247400558"
ดิ,2,"Basic (+Audio), Basic (and reversed card)","1399818769080, 1723798790437"
เสือ,2,"Basic (+Audio), Basic (and reversed card)","1399818769097, 1749441243831"
ไอ,2,"Basic (+Audio), Basic (and reversed card)","1399818769104, 1752038516736"
ท้อง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769105, 1504119762239"
ลูกชาย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769106, 1504119762377"
ผัก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769112, 1504119762430"
เท,2,"Basic (+Audio), Basic (and reversed card)","1399818769117, 1708843564832"
ที่ไหน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769125, 1504119762389"
จ้าง,2,"Basic (+Audio), Basic (and reversed card)","1399818769126, 1663827031364"
รถไฟ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769130, 1504119762205"
โปรด,2,"Basic (+Audio), Basic (and reversed card)","1399818769134, 1674100207049"
โรงแรม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769137, 1504119762108"
ขับ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769141, 1504119762212"
ดื่ม,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769142, 1504119762103"
หอม,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769143, 1691830674994"
ป่วย,2,"Basic (+Audio), Basic (and reversed card)","1399818769154, 1697265782187"
ฤดู,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769156, 1504119762561"
เยอะ,2,"Basic (+Audio), Basic (and reversed card)","1399818769157, 1676524114833"
สูตร,2,"Basic (+Audio), Basic (and reversed card)","1399818769159, 1742235797120"
ฟัน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769161, 1504119762236"
เท้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769163, 1504119762244"
เติม,2,"Basic (+Audio), Basic (and reversed card)","1399818769165, 1721989853108"
ลับ,2,"Basic (+Audio), Basic (and reversed card)","1399818769168, 1676528255871"
ระวัง,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769169, 1685173750653"
ลอย,2,"Basic (+Audio), Basic (and reversed card)","1399818769172, 1692350508821"
ชัย,2,"Basic (+Audio), Basic (and reversed card)","1399818769173, 1764807811330"
พอดี,2,"Basic (+Audio), Basic (and reversed card)","1399818769174, 1708321642791"
เมีย,2,"Basic (+Audio), Basic (and reversed card)","1399818769176, 1657969720199"
คิดถึง,2,"Basic (+Audio), Basic (and reversed card)","1399818769177, 1738307633551"
ลูกค้า,2,"Basic (+Audio), Basic (and reversed card)","1399818769183, 1699341442383"
ริม,2,"Basic (+Audio), Basic (and reversed card)","1399818769187, 1736662725555"
คอมพิวเตอร์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769194, 1504119762282"
ม้า,2,"Basic (+Audio), Basic (and reversed card)","1399818769196, 1709013542019"
รับรอง,2,"Basic (+Audio), Basic (and reversed card)","1399818769200, 1662189775419"
ทน,2,"Basic (+Audio), Basic (and reversed card)","1399818769205, 1722657067252"
ลูกสาว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769208, 1504119762376"
แล้วแต่,2,"Basic (and reversed card), ~Speak like a Thai","1399818769211, 1442747087600"
กล้อง,2,"Basic (+Audio), Basic (and reversed card)","1399818769216, 1764463222353"
ป้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769218, 1504119762371"
โกรธ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769221, 1504119762590"
แฟน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769223, 1504119762380"
จินตนาการ,2,"Basic (+Audio), Basic (and reversed card)","1399818769224, 1701924941851"
หลับ,2,"Basic (+Audio), Basic (and reversed card)","1399818769228, 1722920077062"
เบา,2,"Basic (+Audio), Basic (and reversed card)","1399818769234, 1672409319391"
ขวา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769235, 1504119762274"
ล้ม,2,"Basic (+Audio), Basic (and reversed card)","1399818769239, 1710134837806"
ตื่น,2,"Basic (+Audio), Basic (and reversed card)","1399818769245, 1722916164445"
หวาน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769246, 1504119762465"
ทับ,2,"Basic (+Audio), Basic (and reversed card)","1399818769248, 1712387149502"
ไก่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769249, 1504119762095"
ไล่,2,"Basic (+Audio), Basic (and reversed card)","1399818769258, 1711189184731"
แถม,2,"Basic (+Audio), Basic (and reversed card)","1399818769260, 1729318588638"
หก,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769261, 1504119762177"
หนาว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769262, 1504119762553"
นัด,2,"Basic (+Audio), Basic (and reversed card)","1399818769264, 1738822809863"
เปรียบเทียบ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818769275, 1768029514512"
เหรอ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769282, 1685171664333"
เจ็บ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769283, 1504119762256"
ไหว,2,"Basic (+Audio), Basic (and reversed card)","1399818769292, 1711427241522"
ตัวแทน,2,"Basic (+Audio), Basic (and reversed card)","1399818769294, 1738393879723"
ธนาคาร,2,"Basic (+Audio), Basic (and reversed card)","1399818769296, 1762234987849"
ลบ,2,"Basic (+Audio), Basic (and reversed card)","1399818769301, 1721459403231"
ชำระ,2,"Basic (+Audio), Basic (and reversed card)","1399818769302, 1733723980692"
เท่าไร,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769310, 1504119762199"
ปู,2,"Basic (+Audio), Basic (and reversed card)","1399818769320, 1709185452128"
ตรา,2,"Basic (+Audio), Basic (and reversed card)","1399818769322, 1720637105391"
ทอด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769325, 1504119762486"
แข็งแรง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769328, 1504119762506"
รางวัล,2,"Basic (+Audio), Basic (and reversed card)","1399818769338, 1736496343000"
หมา,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769339, 1504119762094"
ตึก,2,"Basic (+Audio), Basic (and reversed card)","1399818769342, 1742320452006"
เงียบ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769343, 1685173890722"
อบอุ่น,2,"Basic (+Audio), Basic (and reversed card)","1399818769346, 1763613697084"
ไข่,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769349, 1504119762434"
สระ,2,"Basic (+Audio), Basic (and reversed card)","1399818769353, 1703928580270"
แขน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769354, 1504119762240"
แพ้,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769358, 1504119762493"
ภูเขา,2,"Basic (+Audio), Basic (and reversed card)","1399818769370, 1709709080258"
ถนัด,2,"Basic (+Audio), Basic (and reversed card)","1399818769372, 1662448342992"
กระเป๋า,2,"Basic (+Audio), Basic (and reversed card)","1399818769374, 1684569127105"
พึ่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818769375, 1694062669822"
รอด,2,"Basic (+Audio), Basic (and reversed card)","1399818769376, 1663395357015"
หน้าตา,2,"Basic (+Audio), Basic (and reversed card)","1399818769379, 1711189416366"
เบื่อ,2,"Basic (and reversed card), Basic reversed (+Audio)","1399818769389, 1685174721947"
ตู้,2,"Basic (+Audio), Basic (and reversed card)","1399818769390, 1749528251702"
สัปดาห์,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769391, 1504119762345"
ชั่วคราว,2,"Basic (+Audio), Basic (and reversed card)","1399818769396, 1703313945172"
เปิดเผย,2,"Basic (+Audio), Basic (and reversed card)","1399818769400, 1734759733591"
เศร้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769407, 1504119762588"
ทาน,2,"Basic (+Audio), Basic (and reversed card)","1399818769412, 1737097636434"
สติ,2,"Basic (+Audio), Basic (and reversed card)","1399818769413, 1693492914704"
ย่าง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769414, 1504119762484"
แอบ,2,"Basic (+Audio), Basic (and reversed card)","1399818769420, 1722919760022"
เครื่องบิน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769441, 1504119762208"
ขนส่ง,2,"Basic (+Audio), Basic (and reversed card)","1399818769444, 1729050143597"
ไม่ทัน,2,"Basic (+Audio), Basic (and reversed card)","1399818769446, 1748667336021"
สะพาน,2,"Basic (+Audio), Basic (and reversed card)","1399818769448, 1715416022269"
หยิบ,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818769459, 1772430024703"
กังวล,2,"Basic (+Audio), Basic (and reversed card)","1399818769468, 1721467003464"
กำไร,2,"Basic (+Audio), Basic (and reversed card)","1399818769470, 1657719572742"
ลิง,2,"Basic (+Audio), Basic (and reversed card)","1399818769482, 1741153435058"
ตัดสิน,2,"Basic (+Audio), Basic (and reversed card)","1399818769490, 1740078385557"
น้ำตาล,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769491, 1504119762452"
จาน,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769501, 1504119762422"
หมู,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769505, 1504119762158"
ชู,2,"Basic (+Audio), Basic (and reversed card)","1399818769529, 1708843442738"
ลงโทษ,2,"Basic (+Audio), Basic (and reversed card)","1399818769532, 1733723310790"
ตื่นเต้น,2,"Basic (+Audio), Basic (and reversed card)","1399818769533, 1668846048588"
ซ่อน,2,"Basic (+Audio), Basic (and reversed card)","1399818769534, 1675232588604"
เหล้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769540, 1504119762155"
เลวร้าย,2,"Basic (+Audio), Basic (and reversed card)","1399818769543, 1755322464484"
ตลก,2,"Basic (+Audio), Basic (and reversed card)","1399818769544, 1710446292239"
กลางคืน,2,"Basic (+Audio), Basic (and reversed card)","1399818769545, 1758431062159"
เพื่อนบ้าน,2,"Basic (+Audio), Basic (and reversed card)","1399818769547, 1677923177192"
หมายเลข,2,"Basic (+Audio) & reversed, Basic (and reversed card)","1399818769549, 1770357906509"
นิด,2,"Basic (+Audio), Basic (and reversed card)","1399818769554, 1750049324767"
ถอด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769555, 1504119762538"
ขวด,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769556, 1504119762226"
นิทาน,2,"Basic (+Audio), Basic (and reversed card)","1399818769567, 1709965260315"
อร่อย,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769579, 1504119762139"
พร,2,"Basic (+Audio), Basic (and reversed card)","1399818769591, 1670785316072"
วันหยุด,2,"Basic (+Audio), Basic (and reversed card)","1399818769598, 1729187205936"
ห่อ,2,"Basic (+Audio), Basic (and reversed card)","1399818769605, 1669095828126"
รองเท้า,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769606, 1504119762523"
นาฬิกา,2,"Basic (+Audio), Basic (and reversed card)","1399818769607, 1751102010411"
ดารา,2,"Basic (+Audio), Basic (and reversed card)","1399818769610, 1721670797697"
มั่นใจ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769620, 1504119762594"
ประทับใจ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769633, 1504119762595"
ลุง,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769640, 1504119762372"
วัว,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769642, 1504119762159"
สรรพ,2,"Basic (+Audio), Basic (and reversed card)","1399818769643, 1737199822414"
รู,2,"Basic (+Audio), Basic (and reversed card)","1399818769644, 1709446406606"
งั้น,2,"Basic (+Audio), Basic (and reversed card)","1399818769645, 1723797457185"
กำ,2,"Basic (+Audio), Basic (and reversed card)","1399818769653, 1709529925223"
มงคล,2,"Basic (+Audio), Basic (and reversed card)","1399818769673, 1712029822817"
อ่อนแอ,2,"Basic (and reversed card), ~Pocket Thai Vocab","1399818769679, 1504119762508"
จอด,2,"Basic (+Audio), Basic (and reversed card)","1399818769684, 1678256217181"
